Index,Team,Gtm,Date,Site,Opponent,Type,Rslt,Tm,Opp,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,oFG,oFGA,oFG%,o3P,o3PA,o3P%,o2P,o2PA,o2P%,oeFG%,oFT,oFTA,oFT%,oORB,oDRB,oTRB,oAST,oSTL,oBLK,oTOV,oPF
0,Abilene Christian,1,2016-11-11,,NON-FBS-SCHOOL,REG (Non-Conf),W,73,59,,27,64,0.422,9,22,0.409,18,42,0.429,0.492,10,15,0.667,15,26,41,13,8,5,11,17,23,53,0.434,8,21,0.381,15,32,0.469,0.509,5,11,0.455,5,22,27,18,6,2,14,14
1,Abilene Christian,2,2016-11-17,@,New Hampshire,REG (Non-Conf),W,65,57,,22,46,0.478,5,15,0.333,17,31,0.548,0.533,16,29,0.552,1,28,29,8,8,2,14,21,21,60,0.35,5,24,0.208,16,36,0.444,0.392,10,17,0.588,10,29,39,6,3,0,18,25
2,Abilene Christian,3,2016-11-22,,Charleston Southern,REG (Non-Conf),L,65,66,,27,48,0.563,2,13,0.154,25,35,0.714,0.583,9,18,0.5,4,20,24,16,8,4,12,17,25,56,0.446,6,19,0.316,19,37,0.514,0.5,10,16,0.625,12,19,31,8,2,3,14,17
3,Abilene Christian,4,2016-11-25,@,Oklahoma,REG (Non-Conf),L,64,72,,24,57,0.421,7,22,0.318,17,35,0.486,0.482,9,19,0.474,9,30,39,6,13,4,22,32,20,55,0.364,3,14,0.214,17,41,0.415,0.391,29,46,0.63,10,26,36,6,14,5,13,17
4,Abilene Christian,5,2016-11-27,,NON-FBS-SCHOOL,REG (Non-Conf),W,71,55,,22,42,0.524,5,15,0.333,17,27,0.63,0.583,22,27,0.815,4,30,34,15,6,4,18,24,18,53,0.34,4,20,0.2,14,33,0.424,0.377,15,26,0.577,10,18,28,10,10,2,14,22
5,Abilene Christian,6,2016-11-30,@,New Mexico,REG (Non-Conf),L,55,64,,20,48,0.417,8,24,0.333,12,24,0.5,0.5,7,10,0.7,6,19,25,13,3,2,14,20,22,48,0.458,2,11,0.182,20,37,0.541,0.479,18,25,0.72,6,24,30,16,4,1,8,9
6,Abilene Christian,7,2016-12-03,@,Charleston Southern,REG (Non-Conf),W,85,82,OT,28,50,0.56,8,14,0.571,20,36,0.556,0.64,21,26,0.808,5,26,31,10,4,5,14,23,27,64,0.422,12,31,0.387,15,33,0.455,0.516,16,27,0.593,11,17,28,10,4,4,10,20
7,Abilene Christian,8,2016-12-10,,NON-FBS-SCHOOL,REG (Non-Conf),W,90,69,,32,55,0.582,7,17,0.412,25,38,0.658,0.645,19,22,0.864,5,26,31,23,13,2,14,22,21,48,0.438,6,20,0.3,15,28,0.536,0.5,21,29,0.724,3,18,21,8,6,0,17,18
8,Abilene Christian,9,2016-12-14,,NON-FBS-SCHOOL,REG (Non-Conf),W,78,74,,29,61,0.475,9,19,0.474,20,42,0.476,0.549,11,16,0.688,7,27,34,17,8,3,7,14,25,60,0.417,15,30,0.5,10,30,0.333,0.542,9,10,0.9,5,27,32,17,5,5,13,17
9,Abilene Christian,10,2016-12-17,@,Sacramento State,REG (Non-Conf),L,86,88,2OT,37,65,0.569,8,17,0.471,29,48,0.604,0.631,4,5,0.8,2,25,27,22,8,0,16,25,29,58,0.5,9,25,0.36,20,33,0.606,0.578,21,30,0.7,9,25,34,21,9,4,18,11
10,Abilene Christian,11,2016-12-19,@,San Francisco,REG (Non-Conf),L,51,86,,22,65,0.338,5,17,0.294,17,48,0.354,0.377,2,3,0.667,4,25,29,13,8,6,14,14,31,66,0.47,15,30,0.5,16,36,0.444,0.583,9,14,0.643,10,36,46,18,9,3,15,13
11,Abilene Christian,12,2016-12-29,@,New Orleans,REG (Conf),L,66,75,,21,47,0.447,6,17,0.353,15,30,0.5,0.511,18,23,0.783,9,18,27,12,6,2,17,30,25,51,0.49,1,14,0.071,24,37,0.649,0.5,24,35,0.686,13,22,35,16,5,6,12,18
