Index,Team,G,Date,Site,Opponent,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,oFG,oFGA,oFG%,o3P,o3PA,o3P%,oFT,oFTA,oFT%,oORB,oTRB,oAST,oSTL,oBLK,oTOV,oPF
0,Abilene Christian,1,2020-11-25,N,East Tennessee State,W,70.0,47.0,20.0,49.0,0.408,13.0,23.0,0.565,17.0,27.0,0.63,6.0,30.0,14.0,8.0,3.0,15.0,21.0,15.0,51.0,0.294,3.0,21.0,0.143,14.0,17.0,0.824,11.0,38.0,5.0,6.0,2.0,22.0,26.0
1,Abilene Christian,2,2020-11-27,N,Austin Peay,W,80.0,72.0,29.0,53.0,0.547,5.0,9.0,0.556,17.0,29.0,0.586,5.0,25.0,12.0,12.0,1.0,15.0,18.0,27.0,59.0,0.458,5.0,17.0,0.294,13.0,16.0,0.813,11.0,32.0,12.0,2.0,1.0,18.0,23.0
2,Abilene Christian,3,2020-11-28,N,Omaha,W,70.0,58.0,26.0,58.0,0.448,6.0,12.0,0.5,12.0,20.0,0.6,10.0,32.0,15.0,9.0,0.0,14.0,14.0,23.0,52.0,0.442,2.0,14.0,0.143,10.0,13.0,0.769,5.0,30.0,11.0,9.0,2.0,23.0,21.0
3,Abilene Christian,4,2020-12-01,,NON-FBS-SCHOOL,W,81.0,51.0,30.0,70.0,0.429,9.0,33.0,0.273,12.0,21.0,0.571,17.0,45.0,19.0,14.0,4.0,19.0,16.0,17.0,50.0,0.34,6.0,19.0,0.316,11.0,15.0,0.733,5.0,27.0,9.0,4.0,3.0,29.0,21.0
4,Abilene Christian,5,2020-12-05,,Tarleton State,W,69.0,48.0,23.0,56.0,0.411,9.0,27.0,0.333,14.0,22.0,0.636,10.0,29.0,15.0,10.0,2.0,14.0,21.0,15.0,35.0,0.429,1.0,8.0,0.125,17.0,29.0,0.586,5.0,30.0,5.0,10.0,4.0,28.0,25.0
5,Abilene Christian,6,2020-12-09,@,Texas Tech,L,44.0,51.0,16.0,45.0,0.356,6.0,18.0,0.333,6.0,9.0,0.667,3.0,23.0,6.0,8.0,3.0,20.0,31.0,12.0,43.0,0.279,2.0,15.0,0.133,25.0,37.0,0.676,11.0,28.0,7.0,9.0,6.0,16.0,16.0
6,Abilene Christian,7,2020-12-12,,NON-FBS-SCHOOL,W,83.0,46.0,31.0,71.0,0.437,8.0,31.0,0.258,13.0,22.0,0.591,15.0,41.0,20.0,14.0,2.0,10.0,19.0,19.0,53.0,0.358,7.0,22.0,0.318,1.0,8.0,0.125,9.0,34.0,8.0,4.0,4.0,26.0,24.0
7,Abilene Christian,8,2020-12-16,,NON-FBS-SCHOOL,W,95.0,73.0,32.0,68.0,0.471,4.0,17.0,0.235,27.0,43.0,0.628,16.0,37.0,16.0,13.0,4.0,11.0,18.0,27.0,57.0,0.474,7.0,16.0,0.438,12.0,15.0,0.8,6.0,31.0,13.0,3.0,3.0,25.0,29.0
8,Abilene Christian,9,2020-12-22,@,Arkansas,L,72.0,85.0,29.0,61.0,0.475,5.0,22.0,0.227,9.0,15.0,0.6,8.0,25.0,13.0,3.0,4.0,12.0,19.0,26.0,59.0,0.441,9.0,25.0,0.36,24.0,30.0,0.8,12.0,36.0,15.0,6.0,5.0,13.0,18.0
9,Abilene Christian,10,2020-12-29,,NON-FBS-SCHOOL,W,82.0,44.0,31.0,61.0,0.508,6.0,29.0,0.207,14.0,23.0,0.609,10.0,41.0,18.0,12.0,5.0,13.0,16.0,15.0,49.0,0.306,10.0,22.0,0.455,4.0,9.0,0.444,5.0,23.0,8.0,5.0,0.0,25.0,22.0
