Team 1,Team 2,Date,Win Probability
Ohio State,Villanova,2022-03-20,0.33498691414828824
Notre Dame,West Virginia,2017-03-18,0.5883790422436723
Louisiana,Tennessee,2023-03-16,0.4059401045035492
Gonzaga,South Dakota State,2017-03-16,0.8483305836108328
Florida Atlantic,Tennessee,2023-03-23,0.5707128208401153
Alabama,Texas A&M-Corpus Christi,2023-03-16,0.72272627240032
Colgate,Wisconsin,2022-03-18,0.6046395440358404
Coastal Carolina,Wisconsin,2015-03-20,0.2716879209613808
FDU,Florida Atlantic,2023-03-19,0.4751060552999938
Gonzaga,Utah,2016-03-19,0.5415212772091055
Michigan,Villanova,2022-03-24,0.2661965222581619
George Washington,Memphis,2014-03-21,0.44733812554562613
North Carolina,Providence,2014-03-21,0.36165139367841614
Georgia State,Xavier,2015-03-21,0.7342948139468034
Gonzaga,UCLA,2021-04-03,0.7145611843098799
Cincinnati,Kentucky,2015-03-21,0.2414605020264925
Arizona,Weber State,2014-03-21,0.7054571228798022
Florida,Virginia Tech,2021-03-19,0.35434686396388276
Wisconsin,Xavier,2016-03-20,0.45890110796540523
Baylor,Colgate,2024-03-22,0.6090731868458543
Butler,Virginia,2016-03-19,0.3920107892349033
Hampton,Virginia,2016-03-17,0.14551515712492788
Michigan,Tennessee,2014-03-28,0.36703638342422246
San Diego State,UAB,2024-03-22,0.5521132541029261
Gonzaga,Kansas,2024-03-23,0.8257050440051659
Maryland,West Virginia,2015-03-22,0.5250604336588737
Kansas,Maryland,2016-03-24,0.44820550206883303
Duke,Vermont,2024-03-22,0.6647227828040717
Saint Peter's,Tennessee,2024-03-21,0.21870460076270934
Colgate,Texas,2023-03-16,0.4853019780471541
Miami (FL),Wichita State,2016-03-19,0.5815248953859312
Auburn,Kansas,2019-03-23,0.7739243862869902
Auburn,College of Charleston,2018-03-16,0.5432892453487096
Kansas State,Loyola (IL),2018-03-24,0.5117651889373748
Cal State Bakersfield,Oklahoma,2016-03-18,0.43571476559395245
Duke,North Dakota State,2019-03-22,0.9193558051387051
Texas Southern,Xavier,2018-03-16,0.18736969625416836
NC State,Texas Tech,2024-03-21,0.5493356082035135
Florida State,Xavier,2018-03-18,0.42178416556766213
Arizona State,Buffalo,2019-03-22,0.16848904294158581
Louisville,Minnesota,2019-03-21,0.36587529820127673
Kentucky,Louisville,2014-03-28,0.4196221903575786
Duke,Wisconsin,2015-04-06,0.6111240070610915
Florida State,Vermont,2019-03-21,0.34019411181293924
Auburn,Virginia,2019-04-06,0.46040515867556603
Florida,Wisconsin,2017-03-24,0.5891793201273019
Seton Hall,Wofford,2019-03-21,0.17547271584151883
Gonzaga,Purdue,2024-03-29,0.5987870206289188
Davidson,Iowa,2015-03-20,0.4859218922309752
Clemson,Rutgers,2021-03-19,0.3256807342095186
Oklahoma,Virginia Commonwealth,2016-03-20,0.6175914429553744
Kansas,Villanova,2018-03-31,0.37306795486769295
Brigham Young,Oregon,2014-03-20,0.5275509760237947
Cal State Fullerton,Purdue,2018-03-16,0.07365602526968433
Gonzaga,Memphis,2022-03-19,0.6592403721683112
Notre Dame,Stephen F. Austin,2016-03-20,0.47769627251786756
Cincinnati,Saint Joseph's,2016-03-18,0.8460211579505567
Boise State,Memphis,2022-03-17,0.34630817269958064
Florida Gulf Coast,Florida State,2017-03-16,0.40064042082570217
Florida,UCLA,2014-03-27,0.6903766726988538
Connecticut,Stetson,2024-03-22,0.8337085591238025
Kansas,Samford,2024-03-21,0.37538050877496787
Iowa State,Ohio State,2019-03-22,0.7857235484669044
Kentucky,Wisconsin,2014-04-05,0.48667667804851433
Florida State,Missouri,2018-03-16,0.5020511107794554
Clemson,New Mexico State,2018-03-16,0.3571013890486943
North Dakota State,Oklahoma,2014-03-20,0.5676177827286122
Louisiana State,Michigan,2021-03-22,0.516134233961633
Gonzaga,TCU,2023-03-19,0.6382224600220131
James Madison,Wisconsin,2024-03-22,0.8309263186979879
Iowa,Villanova,2016-03-20,0.6016088734771241
Dayton,Stanford,2014-03-27,0.4014009746620253
Duke,San Diego State,2015-03-22,0.8830225209541536
North Carolina,Washington,2019-03-24,0.6168787466277624
Gonzaga,West Virginia,2017-03-23,0.6484036753928776
Arizona State,TCU,2023-03-17,0.36956696943943956
Arizona,Princeton,2023-03-16,0.5225306350858276
Baylor,Georgia State,2015-03-19,0.7789529069865634
Mississippi,Oklahoma,2019-03-22,0.6429927455355049
Gonzaga,Southern California,2021-03-30,0.6419547173363888
Maryland,West Virginia,2023-03-16,0.5841514606289727
Stephen F. Austin,UCLA,2014-03-23,0.5430606937246499
Eastern Washington,Kansas,2021-03-20,0.27441980092338636
