Team,Gtm,Date,Site,Opponent,Type,Rslt,Tm,Opp,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,oFG,oFGA,oFG%,o3P,o3PA,o3P%,o2P,o2PA,o2P%,oeFG%,oFT,oFTA,oFT%,oORB,oDRB,oTRB,oAST,oSTL,oBLK,oTOV,oPF
Abilene Christian,1,2016-11-11,,Schreiner,REG (Non-Conf),W,73,59,,27,64,.422,9,22,.409,18,42,.429,.492,10,15,.667,15,26,41,13,8,5,11,17,23,53,.434,8,21,.381,15,32,.469,.509,5,11,.455,5,22,27,18,6,2,14,14
Abilene Christian,2,2016-11-17,@,New Hampshire,REG (Non-Conf),W,65,57,,22,46,.478,5,15,.333,17,31,.548,.533,16,29,.552,1,28,29,8,8,2,14,21,21,60,.350,5,24,.208,16,36,.444,.392,10,17,.588,10,29,39,6,3,0,18,25
Abilene Christian,3,2016-11-22,,Charleston Southern,REG (Non-Conf),L,65,66,,27,48,.563,2,13,.154,25,35,.714,.583,9,18,.500,4,20,24,16,8,4,12,17,25,56,.446,6,19,.316,19,37,.514,.500,10,16,.625,12,19,31,8,2,3,14,17
Abilene Christian,4,2016-11-25,@,Oklahoma,REG (Non-Conf),L,64,72,,24,57,.421,7,22,.318,17,35,.486,.482,9,19,.474,9,30,39,6,13,4,22,32,20,55,.364,3,14,.214,17,41,.415,.391,29,46,.630,10,26,36,6,14,5,13,17
Abilene Christian,5,2016-11-27,,Howard Payne,REG (Non-Conf),W,71,55,,22,42,.524,5,15,.333,17,27,.630,.583,22,27,.815,4,30,34,15,6,4,18,24,18,53,.340,4,20,.200,14,33,.424,.377,15,26,.577,10,18,28,10,10,2,14,22
Abilene Christian,6,2016-11-30,@,New Mexico,REG (Non-Conf),L,55,64,,20,48,.417,8,24,.333,12,24,.500,.500,7,10,.700,6,19,25,13,3,2,14,20,22,48,.458,2,11,.182,20,37,.541,.479,18,25,.720,6,24,30,16,4,1,8,9
Abilene Christian,7,2016-12-03,@,Charleston Southern,REG (Non-Conf),W,85,82,OT,28,50,.560,8,14,.571,20,36,.556,.640,21,26,.808,5,26,31,10,4,5,14,23,27,64,.422,12,31,.387,15,33,.455,.516,16,27,.593,11,17,28,10,4,4,10,20
Abilene Christian,8,2016-12-10,,N New Mexico,REG (Non-Conf),W,90,69,,32,55,.582,7,17,.412,25,38,.658,.645,19,22,.864,5,26,31,23,13,2,14,22,21,48,.438,6,20,.300,15,28,.536,.500,21,29,.724,3,18,21,8,6,0,17,18
Abilene Christian,9,2016-12-14,,Hillsdale,REG (Non-Conf),W,78,74,,29,61,.475,9,19,.474,20,42,.476,.549,11,16,.688,7,27,34,17,8,3,7,14,25,60,.417,15,30,.500,10,30,.333,.542,9,10,.900,5,27,32,17,5,5,13,17
Abilene Christian,10,2016-12-17,@,Sacramento State,REG (Non-Conf),L,86,88,2OT,37,65,.569,8,17,.471,29,48,.604,.631,4,5,.800,2,25,27,22,8,0,16,25,29,58,.500,9,25,.360,20,33,.606,.578,21,30,.700,9,25,34,21,9,4,18,11
Abilene Christian,11,2016-12-19,@,San Francisco,REG (Non-Conf),L,51,86,,22,65,.338,5,17,.294,17,48,.354,.377,2,3,.667,4,25,29,13,8,6,14,14,31,66,.470,15,30,.500,16,36,.444,.583,9,14,.643,10,36,46,18,9,3,15,13
Abilene Christian,12,2016-12-29,@,New Orleans,REG (Conf),L,66,75,,21,47,.447,6,17,.353,15,30,.500,.511,18,23,.783,9,18,27,12,6,2,17,30,25,51,.490,1,14,.071,24,37,.649,.500,24,35,.686,13,22,35,16,5,6,12,18
Abilene Christian,13,2016-12-31,@,Southeastern Louisiana,REG (Conf),L,53,75,,21,50,.420,5,15,.333,16,35,.457,.470,6,13,.462,6,11,17,10,0,3,15,22,29,52,.558,8,20,.400,21,32,.656,.635,9,14,.643,10,25,35,20,5,5,14,14
Abilene Christian,14,2017-01-05,,Central Arkansas,REG (Conf),L,76,81,,29,60,.483,11,26,.423,18,34,.529,.575,7,20,.350,5,20,25,19,12,1,8,22,28,56,.500,8,23,.348,20,33,.606,.571,17,22,.773,8,32,40,16,6,3,19,19
Abilene Christian,15,2017-01-07,,Stephen F. Austin,REG (Conf),W,69,60,,20,41,.488,6,12,.500,14,29,.483,.561,23,34,.676,5,22,27,13,8,5,16,19,23,55,.418,8,21,.381,15,34,.441,.491,6,13,.462,11,20,31,12,5,2,21,25
Abilene Christian,16,2017-01-12,,Southeastern Louisiana,REG (Conf),L,50,56,,15,41,.366,5,17,.294,10,24,.417,.427,15,25,.600,5,21,26,8,7,2,19,27,19,51,.373,6,22,.273,13,29,.448,.431,12,23,.522,15,25,40,13,7,2,21,21
Abilene Christian,17,2017-01-14,,Lamar,REG (Conf),W,67,64,,23,54,.426,6,17,.353,17,37,.459,.481,15,18,.833,10,24,34,14,8,5,18,23,21,50,.420,2,18,.111,19,32,.594,.440,20,29,.690,7,19,26,8,8,3,14,18
Abilene Christian,18,2017-01-19,@,Nicholls State,REG (Conf),L,59,62,,23,59,.390,8,20,.400,15,39,.385,.458,5,12,.417,9,22,31,13,4,4,12,18,20,48,.417,6,23,.261,14,25,.560,.479,16,22,.727,7,25,32,9,5,13,15,13
Abilene Christian,19,2017-01-26,@,Incarnate Word,REG (Conf),L,79,82,,33,62,.532,6,15,.400,27,47,.574,.581,7,13,.538,5,17,22,15,7,2,10,20,26,50,.520,9,25,.360,17,25,.680,.610,21,25,.840,5,25,30,12,4,2,14,14
Abilene Christian,20,2017-01-28,@,Texas A&M–Corpus Christi,REG (Conf),L,60,72,,18,47,.383,6,19,.316,12,28,.429,.447,18,30,.600,8,17,25,11,10,1,9,22,25,50,.500,8,17,.471,17,33,.515,.580,14,19,.737,8,21,29,20,5,4,13,23
Abilene Christian,21,2017-02-01,,New Orleans,REG (Conf),W,70,69,OT,26,49,.531,11,24,.458,15,25,.600,.643,7,13,.538,7,14,21,16,8,1,17,26,26,50,.520,4,11,.364,22,39,.564,.560,13,24,.542,11,19,30,20,5,0,20,15
Abilene Christian,22,2017-02-04,,Sam Houston State,REG (Conf),W,71,64,,19,42,.452,6,22,.273,13,20,.650,.524,27,32,.844,5,24,29,9,6,5,18,25,22,53,.415,6,19,.316,16,34,.471,.472,14,26,.538,7,17,24,11,6,1,17,25
Abilene Christian,23,2017-02-09,@,Central Arkansas,REG (Conf),L,73,84,,26,65,.400,11,29,.379,15,36,.417,.485,10,17,.588,10,17,27,17,5,1,9,24,27,51,.529,8,16,.500,19,35,.543,.608,22,32,.688,6,32,38,18,1,4,13,19
