,Offensive Rating,Defensive Rating
Abilene Christian,91.47323,99.58532
Air Force,94.15873,105.66953
Akron,105.58037,100.7394
Alabama,99.80666,86.25244
Alabama A&M,82.72683,118.1801
Alabama State,81.56192,108.28049
Albany (NY),97.98383,101.450905
Alcorn State,90.53827,104.589836
American,89.62899,102.18744
Appalachian State,94.53208,107.74798
Arizona,113.78956,93.16259
Arizona State,110.38021,103.26132
Arkansas,105.99059,93.39388
Arkansas State,92.48879,99.80718
Arkansas-Pine Bluff,74.64199,99.279465
Army,89.29062,101.77777
Auburn,105.04267,102.25415
Austin Peay,99.82646,112.25207
Ball State,96.96968,102.8182
Baylor,116.259605,87.63685
Belmont,103.988976,100.83467
Bethune-Cookman,87.09588,112.266075
Binghamton,87.9369,107.06938
Boise State,105.89491,101.82168
Boston College,100.42061,100.930405
Boston University,98.87653,104.27191
Bowling Green State,97.69166,99.279465
Bradley,90.54167,96.11295
Brigham Young,106.362724,91.00944
Brown,95.22315,112.79616
Bryant,96.49592,105.42677
Bucknell,101.82791,94.820305
Buffalo,94.79779,94.519966
Butler,109.511604,91.73153
Cal Poly,97.640305,113.70265
Cal State Bakersfield,93.773346,94.90686
Cal State Fullerton,92.78388,98.95127
Cal State Northridge,102.22789,115.3187
California,100.61872,85.48748
Campbell,95.83422,111.947365
Canisius,106.24476,104.83431
Central Arkansas,92.83945,117.081924
Central Connecticut State,93.90809,106.876755
Central Michigan,102.137634,114.79327
Charleston Southern,100.30308,109.46419
Charlotte,100.45065,103.238655
Chattanooga,98.80615,99.430954
Chicago State,84.90026,112.98809
Cincinnati,105.95081,86.84034
Clemson,109.88677,95.55572
Cleveland State,89.61269,96.825386
Coastal Carolina,91.97876,101.23938
Colgate,89.99111,105.47046
College of Charleston,101.375,94.41533
Colorado,108.4218,94.50083
Colorado State,103.84764,98.29663
Columbia,98.96132,101.181854
Connecticut,103.56289,88.656166
Coppin State,81.10854,119.85632
Cornell,94.67791,107.10777
Creighton,113.89028,95.01743
Dartmouth,93.68801,111.54126
Davidson,108.57694,93.15061
Dayton,109.502144,88.034836
DePaul,96.358345,98.4153
Delaware,91.69439,104.95948
Delaware State,82.972824,117.80103
Denver,102.93136,108.075714
Detroit Mercy,99.40712,115.84045
Drake,99.81213,106.42672
Drexel,95.72509,100.21523
Duke,121.693275,88.79589
Duquesne,92.26214,97.50107
East Carolina,89.62715,89.557205
East Tennessee State,100.52796,96.30117
